2.672336181640625000e+03,2.671257568359375000e+03,1.244226303100585938e+02,9.203002166748046875e+01,7.073193788528442383e-01,1.116700000000000000e+04
2.542461425781250000e+03,2.669313720703125000e+03,1.241078872680664062e+02,9.202866363525390625e+01,6.661999821662902832e-01,1.109150000000000000e+04
2.412497802734375000e+03,2.667691894531250000e+03,1.240497512817382812e+02,9.204029083251953125e+01,6.661999821662902832e-01,1.109150000000000000e+04
2.282509277343750000e+03,2.665686279296875000e+03,1.240497512817382812e+02,9.202866363525390625e+01,6.661999821662902832e-01,1.108250000000000000e+04
2.152947998046875000e+03,2.664156738281250000e+03,1.234016952514648438e+02,9.204775238037109375e+01,8.184553980827331543e-01,1.106550000000000000e+04
2.932986816406250000e+03,2.576499755859375000e+03,1.252583465576171875e+02,9.206663513183593750e+01,5.025817155838012695e-01,1.113950000000000000e+04
2.802758544921875000e+03,2.574996093750000000e+03,1.240661010742187500e+02,9.202055358886718750e+01,9.548412561416625977e-01,1.113650000000000000e+04
2.673358154296875000e+03,2.573130126953125000e+03,1.240307083129882812e+02,9.203416442871093750e+01,8.425243496894836426e-01,1.107450000000000000e+04
2.543500244140625000e+03,2.572000244140625000e+03,1.241206436157226562e+02,9.130334472656250000e+01,6.095065474510192871e-01,1.108700000000000000e+04
2.413505371093750000e+03,2.570000244140625000e+03,1.241404800415039062e+02,9.128967285156250000e+01,6.030912399291992188e-01,1.108600000000000000e+04
2.283513427734375000e+03,2.568322265625000000e+03,1.240377883911132812e+02,9.202840423583984375e+01,6.585432291030883789e-01,1.104650000000000000e+04
2.153996582031250000e+03,2.566779052734375000e+03,1.231714172363281250e+02,9.201821136474609375e+01,7.440592050552368164e-01,1.101200000000000000e+04
2.024097900390625000e+03,2.565287109375000000e+03,1.232650680541992188e+02,9.201728820800781250e+01,6.820604205131530762e-01,1.104000000000000000e+04
3.063651611328125000e+03,2.480496826171875000e+03,1.245543975830078125e+02,9.211538696289062500e+01,5.256346464157104492e-01,1.115000000000000000e+04
2.933626464843750000e+03,2.478995605468750000e+03,1.243001861572265625e+02,9.133514404296875000e+01,6.295985579490661621e-01,1.109800000000000000e+04
2.804401367187500000e+03,2.477197265625000000e+03,1.240294570922851562e+02,9.204615783691406250e+01,7.848245501518249512e-01,1.107750000000000000e+04
2.674497558593750000e+03,2.475705810546875000e+03,1.240620193481445312e+02,9.202893829345703125e+01,6.740369200706481934e-01,1.108400000000000000e+04
2.544496337890625000e+03,2.474314208984375000e+03,1.240613784790039062e+02,9.202866363525390625e+01,6.661999821662902832e-01,1.106800000000000000e+04
2.414507568359375000e+03,2.472492187500000000e+03,1.243698883056640625e+02,9.123535156250000000e+01,8.814040422439575195e-01,1.105450000000000000e+04
2.284520751953125000e+03,2.470995117187500000e+03,1.241480407714843750e+02,9.125288391113281250e+01,5.906571745872497559e-01,1.103200000000000000e+04
2.155000488281250000e+03,2.469486083984375000e+03,1.232694549560546875e+02,9.138529968261718750e+01,8.069294095039367676e-01,1.100800000000000000e+04
2.025137329101562500e+03,2.467687500000000000e+03,1.233056259155273438e+02,9.201703643798828125e+01,6.661999821662902832e-01,1.099650000000000000e+04
1.895800903320312500e+03,2.466325439453125000e+03,1.234171371459960938e+02,9.202840423583984375e+01,6.585431694984436035e-01,1.099050000000000000e+04
3.194572509765625000e+03,2.383684814453125000e+03,1.241872024536132812e+02,9.203990173339843750e+01,6.585431694984436035e-01,1.116350000000000000e+04
3.064665527343750000e+03,2.382570800781250000e+03,1.240312118530273438e+02,9.144404602050781250e+01,8.680514097213745117e-01,1.108850000000000000e+04
2.935008056640625000e+03,2.381024902343750000e+03,1.234752120971679688e+02,9.203681182861328125e+01,9.391909241676330566e-01,1.108350000000000000e+04
2.805486572265625000e+03,2.379683593750000000e+03,1.240607757568359375e+02,9.203990173339843750e+01,6.585432291030883789e-01,1.108150000000000000e+04
2.675502197265625000e+03,2.378302246093750000e+03,1.240497512817382812e+02,9.202866363525390625e+01,6.661999821662902832e-01,1.108250000000000000e+04
2.545521728515625000e+03,2.376994628906250000e+03,1.240914077758789062e+02,9.133514404296875000e+01,6.295986175537109375e-01,1.106500000000000000e+04
2.415826171875000000e+03,2.374998046875000000e+03,1.234926910400390625e+02,9.132067871093750000e+01,6.227556467056274414e-01,1.104800000000000000e+04
2.285995605468750000e+03,2.373808349609375000e+03,1.232350082397460938e+02,9.201876068115234375e+01,7.848245501518249512e-01,1.101900000000000000e+04
2.156005615234375000e+03,2.371999755859375000e+03,1.232509536743164062e+02,9.130656433105468750e+01,6.160598993301391602e-01,1.100100000000000000e+04
2.026019653320312500e+03,2.370308349609375000e+03,1.230847091674804688e+02,9.200540924072265625e+01,6.661999821662902832e-01,1.098900000000000000e+04
1.896239868164062500e+03,2.368987060546875000e+03,1.230162277221679688e+02,9.200380706787109375e+01,9.628637433052062988e-01,1.094600000000000000e+04
